name,group,url,logo,quality,resolution,language,source,status,added_timestamp
CFTU-DT - Canal Savoir (360p),Educatif,https://hls.savoir.media/live/stream.m3u8,https://i.imgur.com/27PqVAR.png,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.572868
CBMT-DT - CBC Montreal (720p),Actualités,https://cbcrclinear-tor.akamaized.net/hls/live/2042761/CBCRCLINEAR_TOR_7/master5.m3u8,https://i.imgur.com/AeVRfbB.png,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.572960
CJNT-DT - CityNews Montreal 6pm a 11pm (Non 24/7),Actualités,https://citynewsregional.akamaized.net/hls/live/553720/CityNews-Montreal/master.m3u8,https://i.imgur.com/jMaP3wK.png,Unknown,Unknown,en,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573062
CKMI-DT - Global News Montreal (720p),Actualités,https://live.corusdigitaldev.com/groupa/live/6bfb7f13-9d9d-4211-9c50-fb56330e4ccd/live.isml/.m3u8,https://i.imgur.com/0vLVIWr.jpg,Unknown,Unknown,en,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573276
ICI RDI (Adaptative),Actualités,https://rcavlive.akamaized.net/hls/live/704026/canrdi/master.m3u8,https://i.imgur.com/Bb1ZiR6.jpg,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573350
ICI RDI (Adaptative) (OPT-2),Actualités,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8,https://i.imgur.com/Bb1ZiR6.jpg,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573421
ICI RDI (Audio),Actualités,https://rcavlive.akamaized.net/hls/live/704026/canrdi/master_dv.m3u8,https://i.imgur.com/Bb1ZiR6.jpg,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573492
LCN (720p),Actualités,https://tvalive.akamaized.net/hls/live/2014213/tvan01/tvan01.m3u8,https://i.imgur.com/6cESMfj.png,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.574670
LCN (Audio),Actualités,https://tvalive.akamaized.net/hls/live/2014213/tvan01/audio_0_eng.m3u8,https://i.imgur.com/6cESMfj.png,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.574736
"Encan Horreur Fanatik (tous les samedis soirs, 18h à minuit!) (480p)",Films,https://svbell-hls.secdn.net/svbell-live/play/mp4:HFanatik/playlist.m3u8,https://i.imgur.com/DDTuhkS.png,Unknown,Unknown,unknown,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573200
CBFT-DT - ICI Radio-Canada Télé Montréal HD (Montréal) (1080p),Généraliste,https://rcavlive-dai.akamaized.net/hls/live/696614/cancbftprem/master_5000.m3u8,https://i.imgur.com/NdCfrtF.png,HD,1080p,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.574012
CFHD-DT - ICI TV (720p),Généraliste,https://amdici.akamaized.net/hls/live/873426/ICI-Live-Stream/master.m3u8,https://i.imgur.com/i3xFNPE.png,HD,1080p,en,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.574600
CBAFT-DT - ICI Radio-Canada Télé Acadie (Moncton) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/704014/cancbaft/master_3000.m3u8,https://i.imgur.com/3TlTIrd.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573571
CJBR-DT - ICI Radio-Canada Télé Est-Québec (Rimouski) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/704024/cancjbr/master_3000.m3u8,https://i.imgur.com/hTXZMsX.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573646
CKTV-DT - ICI Radio-Canada Télé Saguenay-Lac-St-Jean (Saguenay) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/704023/cancktv/master_3000.m3u8,https://i.imgur.com/wMQGKoP.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573721
CBVT-DT - ICI Radio-Canada Télé Québec (Québec) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/664045/cancbvt/master_3000.m3u8,https://i.imgur.com/aEmwyn6.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573793
CKSH-DT - ICI Radio-Canada Télé Estrie (Sherbrooke) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/704016/cancksh/master_3000.m3u8,https://i.imgur.com/hen9czq.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573865
CKTM-DT - ICI Radio-Canada Télé Mauricie - Centre-du-Québec (Trois-Rivières) (720p),Généraliste,https://rcavlive.akamaized.net/hls/live/704021/cancktm/master_3000.m3u8,https://i.imgur.com/jjnIzML.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.573940
CBFT-DT - ICI Radio-Canada Télé Montréal (Montréal) (720p),Généraliste,https://rcavlive-dai.akamaized.net/hls/live/696614/cancbftprem/master_3000.m3u8,https://i.imgur.com/ExX8Ojc.png,Unknown,Unknown,fr,https://github.com/Sphinxroot/QC-TV/raw/16afc34391cf7a1dbc0b6a8273476a7d3f9ca33b/Quebec.m3u,unknown,2025-06-25T04:08:08.574098
